Station Name,Measurement Timestamp,Air Temperature
63rd Street Weather Station,01/01/2016 12:00:00 AM,-2.8
Oak Street Weather Station,01/01/2016 12:00:00 AM,-2.3
Foster Weather Station,01/01/2016 12:00:00 AM,-3.67
63rd Street Weather Station,01/01/2016 01:00:00 AM,-3.4
Foster Weather Station,01/01/2016 01:00:00 AM,-4.56
Oak Street Weather Station,01/01/2016 01:00:00 AM,-3.2
Foster Weather Station,01/01/2016 02:00:00 AM,-5.5
Oak Street Weather Station,01/01/2016 02:00:00 AM,-4.0
63rd Street Weather Station,01/01/2016 02:00:00 AM,-4.2
63rd Street Weather Station,01/01/2016 03:00:00 AM,-5.1
Oak Street Weather Station,01/01/2016 03:00:00 AM,-4.8
Foster Weather Station,01/01/2016 03:00:00 AM,-6.28
Foster Weather Station,01/01/2016 04:00:00 AM,-7.0
Oak Street Weather Station,01/01/2016 04:00:00 AM,-5.5
63rd Street Weather Station,01/01/2016 04:00:00 AM,-5.7
Foster Weather Station,01/01/2016 05:00:00 AM,-7.06
63rd Street Weather Station,01/01/2016 05:00:00 AM,-6.3
Oak Street Weather Station,01/01/2016 05:00:00 AM,-5.8
Oak Street Weather Station,01/01/2016 06:00:00 AM,-5.2
Foster Weather Station,01/01/2016 06:00:00 AM,-6.39
63rd Street Weather Station,01/01/2016 06:00:00 AM,-5.8
63rd Street Weather Station,01/01/2016 07:00:00 AM,-5.1
Oak Street Weather Station,01/01/2016 07:00:00 AM,-4.6
Foster Weather Station,01/01/2016 07:00:00 AM,-5.67
63rd Street Weather Station,01/01/2016 08:00:00 AM,-4.3
Foster Weather Station,01/01/2016 08:00:00 AM,-5.06
Oak Street Weather Station,01/01/2016 08:00:00 AM,-3.8
Oak Street Weather Station,01/01/2016 09:00:00 AM,-3.3
Foster Weather Station,01/01/2016 09:00:00 AM,-4.39
63rd Street Weather Station,01/01/2016 09:00:00 AM,-3.7
Oak Street Weather Station,01/01/2016 10:00:00 AM,-2.7
Foster Weather Station,01/01/2016 10:00:00 AM,-4.0
63rd Street Weather Station,01/01/2016 10:00:00 AM,-3.3
Oak Street Weather Station,01/01/2016 11:00:00 AM,-2.4
63rd Street Weather Station,01/01/2016 11:00:00 AM,-3.1
Foster Weather Station,01/01/2016 11:00:00 AM,-3.56
Foster Weather Station,01/01/2016 12:00:00 PM,-3.0
63rd Street Weather Station,01/01/2016 12:00:00 PM,-2.7
Oak Street Weather Station,01/01/2016 12:00:00 PM,-2.2
Oak Street Weather Station,01/01/2016 01:00:00 PM,-1.9
Foster Weather Station,01/01/2016 01:00:00 PM,-2.56
63rd Street Weather Station,01/01/2016 01:00:00 PM,-2.2
63rd Street Weather Station,01/01/2016 02:00:00 PM,-1.9
Foster Weather Station,01/01/2016 02:00:00 PM,-2.5
Oak Street Weather Station,01/01/2016 02:00:00 PM,-1.3
Oak Street Weather Station,01/01/2016 03:00:00 PM,-1.1
Foster Weather Station,01/01/2016 03:00:00 PM,-2.0
63rd Street Weather Station,01/01/2016 03:00:00 PM,-1.6
Oak Street Weather Station,01/01/2016 04:00:00 PM,-1.0
Foster Weather Station,01/01/2016 04:00:00 PM,-1.78
63rd Street Weather Station,01/01/2016 04:00:00 PM,-1.5
63rd Street Weather Station,01/01/2016 05:00:00 PM,-1.3
Foster Weather Station,01/01/2016 05:00:00 PM,-1.67
Oak Street Weather Station,01/01/2016 05:00:00 PM,-0.6
Oak Street Weather Station,01/01/2016 06:00:00 PM,-0.1
63rd Street Weather Station,01/01/2016 06:00:00 PM,-1.0
Foster Weather Station,01/01/2016 06:00:00 PM,-1.17
63rd Street Weather Station,01/01/2016 07:00:00 PM,-0.5
Oak Street Weather Station,01/01/2016 07:00:00 PM,0.4
Foster Weather Station,01/01/2016 07:00:00 PM,-0.5
Oak Street Weather Station,01/01/2016 08:00:00 PM,0.5
63rd Street Weather Station,01/01/2016 08:00:00 PM,-0.3
Foster Weather Station,01/01/2016 08:00:00 PM,-0.56
Foster Weather Station,01/01/2016 09:00:00 PM,-0.67
